# T15 points/obstructions update for gps_shimura_test -- PROVISIONAL, pending T27 reload.
# Labels use the canonical (T29) grammar; shipped DB labels differ for the
# 5 enhanced D=6 rows (class letters a/b reshuffled) -- re-key by the
# invariant join_* columns before any load against a different label state.
# v1 scope (Q9 DECIDED): real place (Shimura + Ogg) and CM lower bounds (GR06);
# no p-adic criteria.  Load: strip '#' lines and the join_* columns, then
# db.gps_shimura_test.update_from_file(..., label_col='label', sep='|')
# AFTER T03's count file (T15 supersedes its pointless=\N on the coarse bases).
label|cm_discriminants|obstructions|has_obstruction|pointless|num_known_degree1_points|num_known_degree1_noncm_points|all_degree1_points_known|join_discB|join_discO|join_deg_mu|join_level_congruence|join_eichler_level|join_fuchsian_index|join_index|join_genus|join_W
6.1.1.4.0.a.1|{}|{0}|1|t|0|0|t|6|6|1|1|1|4|4|0|1
6.1.1.2.0.c.1|{-24,-3}|{}|0|f|\N|\N|f|6|6|1|1|1|2|2|0|1,2
6.1.1.1.0.a.1|{-163,-67,-43,-24,-19,-4,-3}|{}|0|f|\N|\N|f|6|6|1|1|1|1|1|0|1,2,3,6
6.1.1.2.0.a.1|{-24,-4}|{}|0|f|\N|\N|f|6|6|1|1|1|2|2|0|1,3
6.1.1.2.0.b.1|{-163,-67,-43,-24,-19,-4,-3}|{}|0|f|\N|\N|f|6|6|1|1|1|2|2|0|1,6
6.30.1.1.4.1.a.1|{}|{0}|1|t|0|0|t|6|30|1|1|5|4|4|1|1
6.42.1.1.4.1.a.1|{}|{0}|1|t|0|0|t|6|42|1|1|7|4|4|1|1
6.66.1.1.2.3.a.1|{}|{0}|1|t|0|0|t|6|66|1|1|11|2|2|3|1
6.78.1.1.4.1.a.1|{}|{0}|1|t|0|0|t|6|78|1|1|13|4|4|1|1
6.102.1.1.4.3.a.1|{}|{0}|1|t|0|0|t|6|102|1|1|17|4|4|3|1
6.114.1.1.2.3.a.1|{}|{0}|1|t|0|0|t|6|114|1|1|19|2|2|3|1
6.138.1.1.4.5.a.1|{}|{0}|1|t|0|0|t|6|138|1|1|23|4|4|5|1
6.174.1.1.4.5.a.1|{}|{0}|1|t|0|0|t|6|174|1|1|29|4|4|5|1
6.186.1.1.2.5.a.1|{}|{0}|1|t|0|0|t|6|186|1|1|31|2|2|5|1
6.210.1.1.4.9.a.1|{}|{0}|1|t|0|0|t|6|210|1|1|35|4|4|9|1
6.222.1.1.4.5.a.1|{}|{0}|1|t|0|0|t|6|222|1|1|37|4|4|5|1
6.246.1.1.2.7.a.1|{}|{0}|1|t|0|0|t|6|246|1|1|41|2|2|7|1
6.258.1.1.2.7.a.1|{}|{0}|1|t|0|0|t|6|258|1|1|43|2|2|7|1
6.282.1.1.4.9.a.1|{}|{0}|1|t|0|0|t|6|282|1|1|47|4|4|9|1
6.318.1.1.4.9.a.1|{}|{0}|1|t|0|0|t|6|318|1|1|53|4|4|9|1
6.330.1.1.4.13.a.1|{}|{0}|1|t|0|0|t|6|330|1|1|55|4|4|13|1
6.354.1.1.2.11.a.1|{}|{0}|1|t|0|0|t|6|354|1|1|59|2|2|11|1
6.366.1.1.4.9.a.1|{}|{0}|1|t|0|0|t|6|366|1|1|61|4|4|9|1
6.390.1.1.2.13.a.1|{}|{0}|1|t|0|0|t|6|390|1|1|65|2|2|13|1
10.1.1.4.0.a.1|{}|{0}|1|t|0|0|t|10|10|1|1|1|4|4|0|1
10.30.1.1.4.1.a.1|{}|{0}|1|t|0|0|t|10|30|1|1|3|4|4|1|1
10.70.1.1.4.1.a.1|{}|{0}|1|t|0|0|t|10|70|1|1|7|4|4|1|1
10.110.1.1.2.5.a.1|{}|{0}|1|t|0|0|t|10|110|1|1|11|2|2|5|1
10.130.1.1.4.3.a.1|{}|{0}|1|t|0|0|t|10|130|1|1|13|4|4|3|1
10.170.1.1.2.7.a.1|{}|{0}|1|t|0|0|t|10|170|1|1|17|2|2|7|1
10.190.1.1.4.5.a.1|{}|{0}|1|t|0|0|t|10|190|1|1|19|4|4|5|1
10.210.1.1.4.9.a.1|{}|{0}|1|t|0|0|t|10|210|1|1|21|4|4|9|1
10.230.1.1.2.9.a.1|{}|{0}|1|t|0|0|t|10|230|1|1|23|2|2|9|1
10.290.1.1.2.11.a.1|{}|{0}|1|t|0|0|t|10|290|1|1|29|2|2|11|1
10.310.1.1.4.9.a.1|{}|{0}|1|t|0|0|t|10|310|1|1|31|4|4|9|1
10.330.1.1.4.17.a.1|{}|{0}|1|t|0|0|t|10|330|1|1|33|4|4|17|1
10.370.1.1.4.11.a.1|{}|{0}|1|t|0|0|t|10|370|1|1|37|4|4|11|1
10.390.1.1.4.17.a.1|{}|{0}|1|t|0|0|t|10|390|1|1|39|4|4|17|1
14.1.1.2.1.a.1|{}|{0}|1|t|0|0|t|14|14|1|1|1|2|2|1|1
14.42.1.1.4.3.a.1|{}|{0}|1|t|0|0|t|14|42|1|1|3|4|4|3|1
