# T02 PARKED models -- PROVISIONAL, pending T27 reload AND target-row generation.
# These curve rows do NOT exist yet (UNMAPPED in T01). Each carries the durable
# join key; when the target enhanced/coarse row is generated (T19->T20->T09->T08
# chain, or the 15.4 non-squarefree extension, or the grammar fixes), attach the
# model via the join key.  equation = normalized text[] polys (postgres array).
# park_reason values: PENDING_GENERATION | GRAMMAR_VIOLATION | NO_COARSE_ROW
# dup_occ>0 marks the 2nd model rep of a duplicate-label curve (see Log).
old_label|park_reason|dup_occ|join_discB|join_discO|join_deg_mu|join_level|join_al_subgroup|genus|model_type|number_variables|smooth|dont_display|equation|note
10.11-[1,10,11,110]|PENDING_GENERATION|0|10|110|1|1|1,10,11,110|0|2|3|t|f|{"x^2 + 8y^2 + 1/2x*t"}|\N
10.11-[1,10,22,55]|PENDING_GENERATION|0|10|110|1|1|1,10,22,55|1|5|3|t|f|{"-x^3 + x*y*z + y^2z + 89x*z^2 + y*z^2 - 316z^3"}|\N
10.11-[1,10]|PENDING_GENERATION|0|10|110|1|1|1,10|2|5|3|t|f|{"11x^6 - 13x^5z - 6x^4z^2 + x^3y + 25x^3z^3 - 6x^2z^4 - 13x*z^5 + y^2 + y*z^3 + 11z^6"}|\N
10.11-[1,110]|PENDING_GENERATION|0|10|110|1|1|1,110|0|2|3|t|f|{"y^2 - x*t"}|\N
10.11-[1,11]|PENDING_GENERATION|0|10|110|1|1|1,11|3|5|3|t|f|{"2x^8 + 49x^6z^2 + 397x^4z^4 + x^3y*z + 1079x^2z^6 + x*y*z^3 + y^2 + 22z^8"}|\N
10.11-[1,2,11,22]|PENDING_GENERATION|0|10|110|1|1|1,2,11,22|1|5|3|t|f|{"-x^3 + x*y*z + y^2z - 9x*z^2 + 25z^3"}|\N
10.11-[1,2,5,10,11,22,55,110]|PENDING_GENERATION|0|10|110|1|1|1,2,5,10,11,22,55,110|0|2|3|t|f|{"-y^2 + x*t + 8t^2"}|\N
10.11-[1,2,5,10]|PENDING_GENERATION|0|10|110|1|1|1,2,5,10|1|5|3|t|f|{"-x^3 - x^2z + x*y*z + y^2z + 5940x*z^2 + y*z^2 + 178685z^3"}|\N
10.11-[1,2,55,110]|PENDING_GENERATION|0|10|110|1|1|1,2,55,110|0|2|3|t|f|{"y^2 - x*t"}|\N
10.11-[1,22]|PENDING_GENERATION|0|10|110|1|1|1,22|2|5|3|t|f|{"-x^6 + 2x^4z^2 + x^3y + 7x^3z^3 + 2x^2z^4 + y^2 + y*z^3 - z^6"}|\N
10.11-[1,2]|PENDING_GENERATION|0|10|110|1|1|1,2|2|5|3|t|f|{"8x^6 - 61x^5z + 100x^4z^2 + 83x^3z^3 - 58x^2z^4 - 60x*z^5 + y^2 + 40z^6"}|\N
10.11-[1,5,11,55]|PENDING_GENERATION|0|10|110|1|1|1,5,11,55|2|5|3|t|f|{"2x^5z - 31x^4z^2 + 117x^3z^3 + x^2y*z + 43x^2z^4 + x*y*z^2 + 10x*z^5 + y^2"}|\N
10.11-[1,5,22,110]|PENDING_GENERATION|0|10|110|1|1|1,5,22,110|0|2|3|t|f|{"x^2 - 8y^2 - 1/2x*t"}|\N
10.11-[1,55]|PENDING_GENERATION|0|10|110|1|1|1,55|3|5|3|t|f|{"-2x^7z - 5x^6z^2 + 18x^5z^3 + 30x^4z^4 + x^3y*z - 67x^3z^5 - 21x^2z^6 + x*y*z^3 + 41x*z^7 + y^2 - 13z^8"}|\N
10.11-[1,5]|PENDING_GENERATION|0|10|110|1|1|1,5|3|5|3|t|f|{"2x^8 - 31x^6z^2 + 117x^4z^4 + x^3y*z + 43x^2z^6 + x*y*z^3 + y^2 + 10z^8"}|\N
10.13-[1,10,13,130]|PENDING_GENERATION|0|10|130|1|1|1,10,13,130|0|2|3|t|f|{"-1300x^2 + y^2 + 74x*t - 5/4t^2"}|\N
10.13-[1,10,26,65]|PENDING_GENERATION|0|10|130|1|1|1,10,26,65|0|2|3|t|f|{"-50x^2 - x*y - 2t^2"}|\N
10.13-[1,10]|PENDING_GENERATION|0|10|130|1|1|1,10|1|8|4|t|f|{"-1/5x^2 - 398/25y^2 - 325z^2 + t^2","y^2 - x*z"}|\N
10.13-[1,130]|PENDING_GENERATION|0|10|130|1|1|1,130|1|8|4|t|f|{"y^2 - x*z","-208x^2 + 296/25y^2 - 1/5z^2 + t^2"}|\N
10.13-[1,13]|PENDING_GENERATION|0|10|130|1|1|1,13|1|8|4|t|f|{"-208x^2 - 504y^2 - 325z^2 + t^2","y^2 - x*z"}|\N
10.13-[1,2,13,26]|PENDING_GENERATION|0|10|130|1|1|1,2,13,26|1|5|3|t|f|{"-x^3 + x^2z + x*y*z + y^2z + 67x*z^2 + y*z^2 + 441z^3"}|\N
10.13-[1,2,5,10,13,26,65,130]|PENDING_GENERATION|0|10|130|1|1|1,2,5,10,13,26,65,130|0|2|3|t|f|{"y^2 - x*t"}|\N
10.13-[1,2,5,10]|PENDING_GENERATION|0|10|130|1|1|1,2,5,10|1|5|3|t|f|{"-x^3 - x^2z + x*y*z + y^2z + 761x*z^2 + y*z^2 + 11561z^3"}|\N
10.13-[1,2,65,130]|PENDING_GENERATION|0|10|130|1|1|1,2,65,130|0|2|3|t|f|{"-x*y + t^2"}|\N
10.13-[1,26]|PENDING_GENERATION|0|10|130|1|1|1,26|2|5|3|t|f|{"53x^6 - 50x^5z + 172x^4z^2 - 100x^3z^3 + 172x^2z^4 - 50x*z^5 + y^2 + 53z^6"}|\N
10.13-[1,2]|PENDING_GENERATION|0|10|130|1|1|1,2|2|5|3|t|f|{"3x^6 - 23x^5z + 63x^4z^2 - 72x^3z^3 + x^2y*z + 63x^2z^4 + x*y*z^2 - 23x*z^5 + y^2 + 3z^6"}|\N
10.13-[1,5,13,65]|PENDING_GENERATION|0|10|130|1|1|1,5,13,65|0|2|3|t|f|{"50x*y + y^2 + 2t^2"}|\N
10.13-[1,5,26,130]|PENDING_GENERATION|0|10|130|1|1|1,5,26,130|1|5|3|t|f|{"-x^3 + x*y*z + y^2z + 13x*z^2 + y*z^2 - 156z^3"}|\N
10.13-[1,5]|PENDING_GENERATION|0|10|130|1|1|1,5|2|5|3|t|f|{"13x^6 + 39x^5z + 87x^4z^2 + 109x^3z^3 + x^2y*z + 106x^2z^4 + x*y*z^2 + 58x*z^5 + y^2 + y*z^3 + 22z^6"}|\N
10.13-[1,65]|PENDING_GENERATION|0|10|130|1|1|1,65|0|2|3|t|f|{"2x^2 + 50y^2 + t^2"}|\N
10.19-[1,10,19,190]|PENDING_GENERATION|0|10|190|1|1|1,10,19,190|1|5|3|t|f|{"-x^3 - x^2z + x*y*z + y^2z - 2x*z^2 - 2z^3"}|\N
10.19-[1,10,38,95]|PENDING_GENERATION|0|10|190|1|1|1,10,38,95|0|2|3|t|f|{"x^2 + 1/5y*t"}|\N
10.19-[1,10]|PENDING_GENERATION|0|10|190|1|1|1,10|2|5|3|t|f|{"2x^6 - 6x^5z + 40x^4z^2 - 70x^3z^3 + 416x^2z^4 - 382x*z^5 + y^2 + 94z^6"}|\N
10.19-[1,190]|PENDING_GENERATION|0|10|190|1|1|1,190|2|5|3|t|f|{"-x^6 + 3x^5z - x^4z^2 - 2x^3z^3 + x^2y*z + x*y*z^2 + 3x*z^5 + y^2 + y*z^3"}|\N
10.19-[1,19]|PENDING_GENERATION|0|10|190|1|1|1,19|3|5|3|t|f|{"8x^8 + 185x^6z^2 + 1425x^4z^4 + x^3y*z + 3673x^2z^6 + x*y*z^3 + y^2 + 38z^8"}|\N
10.19-[1,2,19,38]|PENDING_GENERATION|0|10|190|1|1|1,2,19,38|0|2|3|t|f|{"x^2 - 1/32y*t"}|\N
